uniqueId,uid,NormCode,SOQ
20296453,1067342,101,16
21141610,1067342,005,1
21028784,1067342,005,1
21090925,1067342,401,48
20271668,1067342,111,49
65000174,1067342,005,1
21087822,1067343,005,16
21087368,1067343,005,1
21028789,1067343,105,7
68362154,1067343,005,1
65000097,1067343,005,1
20067720,1067343,400,20
21051154,1067343,005,1
21141355,1067343,005,12
67017903,1067343,005,24
68362182,1067343,005,1
21055185,1067343,005,20
67526330,1067343,105,2
67898916,1067343,105,2
68148519,1067343,105,2
65000052,1067343,005,1
21083504,1067343,005,1
20098682,1067343,005,1
20271671,1067343,005,1
67158723,1067343,400,12
65000047,1067343,101,1
21028788,1067343,005,1
65000099,1067343,005,12
67500261,1067343,001,4
65000315,1067343,005,1
67158725,1067343,401,48
65000209,1067343,001,4
21031720,1067343,005,30
21189192,1067343,005,24
21152629,1067343,001,5
65000103,1067343,005,1
65000094,1067343,401,3
65000177,1067343,005,1
20260326,1067343,001,4
65000208,1067343,005,36
68362156,1067343,005,20
21038480,1067343,400,18
21038318,1067343,005,1
65000174,1067343,005,1
21028787,1067343,011,3
21038483,1067343,005,1
68362180,1067343,111,16
21071761,1067343,411,5
21031712,1067343,005,28
65000237,1067343,005,6
21189377,1067343,001,4
20093126,1067343,005,1
21087366,1067343,005,1
21095090,1067343,405,4
65000178,1067343,101,24
21028784,1067343,105,5
65000046,1067343,105,7
65038606,1067343,005,3
21135330,1067343,005,1
67613440,1067343,411,3
21038334,1067343,101,48
65000309,1067343,111,12
21051152,1067343,401,1
65000101,1067343,001,7
21036758,1067343,005,1
21031721,1067343,001,24
65000302,1067343,101,5
21142890,1067344,005,1
21051153,1067344,101,20
67158725,1067344,011,12
20271668,1067344,005,20
20098682,1067344,005,24
21087368,1067344,001,2
65025136,1067344,001,16
68520982,1067344,005,12
67613440,1067344,005,1
65000302,1067344,005,1
65000062,1067344,005,1
21028785,1067344,401,40
21188999,1067344,005,16
20271670,1067344,005,1
67158723,1067344,411,3
21141185,1067344,005,28
21039240,1067344,005,24
21055185,1067344,105,2
21087826,1067344,101,2
65000058,1067344,405,1
68362181,1067344,005,1
21189196,1067344,005,1
21152629,1067344,005,1
65000097,1067344,111,72
21141356,1067344,005,1
65038606,1067344,105,1
21087379,1067344,401,2
20296649,1067344,401,48
21189192,1067344,001,24
68195038,1067344,111,3
68644416,1067344,011,2
21189303,1067344,005,6
21088946,1067344,005,1
21087820,1067344,005,1
21135330,1067344,005,1
20067720,1067344,005,1
21087821,1067344,001,24
21031719,1067344,005,1
21038323,1067344,400,1
21051154,1067344,005,1
67606813,1067344,101,48
21087372,1067344,001,16
65000173,1067344,005,30
68421177,1067344,001,12
65000050,1067344,005,1
20260326,1067344,005,1
21131510,1067344,111,16
20276672,1067344,105,2
20093128,1067344,105,1
68362180,1067344,411,18
