uid,uniqueId,SQ
196572,67942337,8
196572,20095665,6
196572,20098272,3
196572,67351865,6
196572,20106026,7
196572,20107157,8
196572,21181960,1
196572,67823413,4
196572,67960212,3
196572,67304632,3
196572,20062887,8
196572,67471234,5
196572,68299608,9
196572,67004131,2
196572,68576765,6
196572,68568498,9
196572,21024489,10
196572,21139467,8
196572,20228172,3
196572,20069214,5
196572,21145277,8
196572,21010153,4
196572,68716984,5
196572,21186676,7
196572,20098278,9
196572,68621984,5
196572,68145648,9
196572,20106358,9
196572,21037872,3
196572,21183586,7
196572,21188974,5
196572,68272982,3
196572,68621986,7
196572,20068169,10
196572,20110173,4
196572,21149860,1
196572,21130718,9
196572,67205700,1
196572,68608252,3
196572,20095536,7
196572,21182165,6
196572,20296380,1
196572,67117447,8
196572,67205709,10
196572,21134814,5
196572,20205024,5
196572,67470405,6
196572,67090151,2
196572,20109587,8
196572,21068907,8
196572,20102136,7
196572,68272984,5
196572,21024426,7
196572,67793906,7
196572,68299605,6
196572,67795168,9
196572,67062796,7
196572,67725299,10
196572,68421279,10
196572,68793780,1
196572,20098276,7
196572,21145279,10
196572,21156199,10
196572,67778568,9
196572,68368626,7
196572,67004372,3
196572,68403950,1
196572,21069664,5
196572,68431125,6
196572,21075206,7
196572,67477075,6
196572,20111044,5
196572,68793784,5
196572,75020055,6
196572,20098273,4
196572,21189243,4
196572,20296450,1
196572,21132238,9
196572,67823163,4
196572,68499300,1
196572,67307131,2
196572,68392862,3
196572,20296378,9
196572,21069336,7
196572,21183347,8
196572,67400847,8
196572,67037419,10
196572,21024107,8
196572,68425734,5
196572,67090149,10
196572,21024492,3
196572,20064018,9
196572,21156202,3
196572,67706424,5
196572,21183712,3
196572,20098930,1
196572,21070526,7
196572,21153703,4
196572,67002543,4
196572,21068086,7
196572,68210212,3
196572,21130636,7
196572,67823409,10
196572,21140780,1
196572,67470400,1
196572,68499294,5
196572,21074955,6
196572,67419616,7
196572,21145280,1
196572,67008688,9
196572,21011145,6
196572,20104314,5
196572,68709453,4
196572,68145653,4
196572,67012517,8
196572,68425738,9
196572,21036381,2
196572,21072013,4
196572,67823404,5
196572,67823212,3
196572,21070698,9
196572,20105983,4
196572,67766813,4
196572,67477056,7
196572,67002438,9
196572,66814124,5
196572,68573606,7
196572,67793908,9
196572,21071300,1
196572,68593198,9
196572,67002441,2
196572,21069335,6
196572,67706423,4
196572,20203200,1
196572,21156378,9
196572,21071939,10
196572,68228258,9
196572,68390650,1
196572,20280076,7
196572,67205706,7
196572,20111231,2
196572,20203202,3
196572,21036379,10
196572,68131327,8
196572,68546634,5
196572,68441868,9
196572,68794596,7
196572,21145274,5
196572,67486287,8
196572,68272976,7
196572,21149864,5
196572,68537120,1
196572,20098269,10
196572,20098918,9
196572,21149861,2
196572,67867905,6
196572,21037596,7
196572,20111230,1
196572,67078949,10
196572,67867902,3
196572,21155703,4
196572,68573604,5
196572,67160356,7
196572,68115761,2
196572,68670517,8
196572,21141765,6
196572,68692425,6
196572,20068869,10
196572,68345344,5
196572,21036380,1
